netName,util,cp,bboxArea,bboxAr,numPins,numVias
{text_out[36]},60,1600,0.000,0.000,2,0
{text_out[35]},60,1600,0.000,0.000,2,0
{text_out[34]},60,1600,0.000,0.000,2,0
{text_out[33]},60,1600,0.000,0.000,2,0
{text_out[32]},60,1600,0.000,0.000,2,0
{text_out[31]},60,1600,0.000,0.000,2,0
{text_out[30]},60,1600,0.000,0.000,2,0
{text_out[29]},60,1600,0.000,0.000,2,0
{text_out[28]},60,1600,0.000,0.000,2,0
{text_out[27]},60,1600,0.000,0.000,2,0
{text_out[26]},60,1600,0.000,0.000,2,0
{text_out[25]},60,1600,0.000,0.000,2,0
{text_out[24]},60,1600,0.000,0.000,2,0
{text_out[23]},60,1600,0.000,0.000,2,0
{text_out[22]},60,1600,0.000,0.000,2,0
{text_out[21]},60,1600,0.000,0.000,2,0
{text_out[20]},60,1600,0.000,0.000,2,0
{text_out[19]},60,1600,0.000,0.000,2,0
{text_out[18]},60,1600,0.000,0.000,2,0
{text_out[17]},60,1600,0.000,0.000,2,0
{text_out[16]},60,1600,0.000,0.000,2,0
{text_out[15]},60,1600,0.000,0.000,2,0
{text_out[14]},60,1600,0.000,0.000,2,0
{text_out[13]},60,1600,0.000,0.000,2,0
{text_out[12]},60,1600,0.000,0.000,2,0
{text_out[11]},60,1600,0.000,0.000,2,0
{text_out[10]},60,1600,0.000,0.000,2,0
{text_out[9]},60,1600,0.000,0.000,2,0
{text_out[8]},60,1600,0.000,0.000,2,0
{text_out[7]},60,1600,0.000,0.000,2,0
{text_out[6]},60,1600,0.000,0.000,2,0
{text_out[5]},60,1600,0.000,0.000,2,0
{text_out[4]},60,1600,0.000,0.000,2,0
{text_out[3]},60,1600,0.000,0.000,2,0
{text_out[2]},60,1600,0.000,0.000,2,0
{text_out[1]},60,1600,0.000,0.000,2,0
{text_out[0]},60,1600,0.000,0.000,2,0
FE_RN_169_0,60,1600,0.160,1.000,2,0
FE_OCPN1578_N183,60,1600,220.800,9.583,2,8
FE_OCPN1577_N180,60,1600,56.400,39.167,2,8
FE_RN_137_0,60,1600,2.622,2.355,2,4
FE_RN_136_0,60,1600,0.560,3.500,2,4
FE_RN_135_0,60,1600,1.040,6.500,2,4
FE_RN_124_0,60,1600,0.160,1.000,2,0
FE_OCPN1575_N230,60,1600,1072.600,1.116,2,6
FE_RN_1,60,1600,58.080,0.750,3,8
FE_RN_100_0,60,1600,0.160,1.000,2,0
FE_OCPN1535_sa02_sr_3,60,1600,781.440,3.568,5,14
FE_OFN915_sa13_sr_0,60,1600,0.943,3.698,2,4
FE_RN_60_0,60,1600,0.480,3.000,2,4
FE_OCPN914_sa31_sr_7,60,1600,213.160,1.000,3,6
FE_RN_54_0,60,1600,0.880,5.500,2,4
FE_RN_52_0,60,1600,0.320,2.000,2,2
FE_RN_50_0,60,1600,0.280,7.000,2,2
FE_RN_42_0,60,1600,8.800,0.550,2,2
FE_RN_41_0,60,1600,23.040,1.000,2,4
FE_RN_40_0,60,1600,3.360,0.583,2,2
FE_RN_38_0,60,1600,0.800,5.000,2,4
FE_RN_35_0,60,1600,7.200,0.450,2,4
FE_RN_32_0,60,1600,0.480,3.000,2,0
FE_OFN467_sa02_sr_7,60,1600,4.800,0.833,3,5
FE_OFN444_n,60,1600,150.960,0.077,4,13
FE_OFN414_n,60,1600,90.720,0.321,4,8
FE_OFN363_sa12_sr_5,60,1600,7431.600,1.706,5,19
FE_OFN352_sa12_sr_7,60,1600,5000.800,2.264,5,13
FE_OFN348_sa12_sr_0,60,1600,6156.720,1.644,5,13
FE_OFN345_sa12_sr_6,60,1600,2285.360,5.949,5,14
FE_OFN284_sa11_sr_1,60,1600,14.000,0.286,3,5
FE_OFN201_w3_14,60,1600,310.080,0.336,7,20
FE_OFN187_w3_18,60,1600,261.120,0.157,4,14
FE_OFN175_w3_11,60,1600,380.920,0.832,16,36
FE_OFN117_sa13_sr_0,60,1600,0.960,6.000,2,4
FE_OFN54_sa23_sr_1,60,1600,3.520,0.727,2,4
FE_OFN44_sa23_sr_4,60,1600,0.360,9.000,2,2
FE_OFN43_sa10_sr_4,60,1600,3.487,1.560,2,2
FE_OFN40_sa10_sr_1,60,1600,34.960,2.421,3,6
FE_OFN16_sa23_sr_0,60,1600,2166.640,0.394,5,16
FE_OFN15_sa22_sr_0,60,1600,1222.000,7.231,5,12
FE_OFN14_sa12_sr_4,60,1600,28.160,5.818,3,6
FE_OFN12_sa10_sr_7,60,1600,836.920,0.115,5,18
FE_OFN8_w3_9,60,1600,1924.400,1.665,21,60
FE_OFN2_ld_r,60,1600,97.440,0.181,16,26
FE_DBTN9_ld,60,1600,2616.480,0.382,17,41
FE_DBTN7_w3_2,60,1600,1736.640,1.654,20,52
FE_DBTN6_w3_4,60,1600,950.400,1.146,16,48
FE_DBTN5_w3_5,60,1600,1601.280,1.931,18,44
FE_DBTN4_w3_6,60,1600,893.760,2.327,12,33
FE_DBTN3_w0_1,60,1600,14.000,0.286,3,5
FE_DBTN2_w3_7,60,1600,1120.000,4.375,11,34
FE_DBTN1_w3_1,60,1600,984.960,1.188,16,53
FE_DBTN0_w3_3,60,1600,448.000,1.120,14,41
N12,60,1600,76.320,1.472,5,12
N13,60,1600,3.840,1.500,2,4
N14,60,1600,1.920,0.750,2,2
N15,60,1600,2.160,1.500,2,4
N16,60,1600,4.160,0.615,2,2
N21,60,1600,4.000,0.250,2,2
ld_r,60,1600,639.360,0.771,23,47
N32,60,1600,12.800,1.250,2,2
N33,60,1600,159.600,9.048,2,4
N34,60,1600,4.640,29.000,2,4
N35,60,1600,80.080,16.545,2,4
N36,60,1600,84.480,17.455,2,4
N37,60,1600,128.800,2.629,2,4
N38,60,1600,65.520,2.423,2,4
N39,60,1600,55.680,1.655,2,4
N48,60,1600,244.000,0.066,2,6
N49,60,1600,331.000,0.076,2,6
N50,60,1600,109.800,0.030,2,6
N51,60,1600,39.000,0.009,2,10
N52,60,1600,28.720,0.006,2,10
N53,60,1600,117.440,0.022,2,6
N54,60,1600,38.760,0.009,2,10
N55,60,1600,260.000,0.062,2,6
N64,60,1600,17.000,0.680,2,2
N65,60,1600,1.280,0.125,2,2
N66,60,1600,255.360,1.965,2,8
N67,60,1600,10.800,2.700,2,4
N68,60,1600,13.600,0.850,2,4
N69,60,1600,1.040,6.500,2,4
N70,60,1600,4.720,29.500,2,4
N71,60,1600,1.440,9.000,2,4
N80,60,1600,56.000,1.786,2,4
N81,60,1600,23.040,0.141,2,4
N82,60,1600,4.480,112.000,2,4
N83,60,1600,8.400,0.043,2,4
N84,60,1600,5.280,0.068,2,4
N85,60,1600,9.280,0.276,2,4
N86,60,1600,4.000,0.160,2,2
N87,60,1600,4.440,0.081,2,2
N96,60,1600,2.240,0.071,2,2
N97,60,1600,2.800,0.057,2,2
N98,60,1600,20.240,0.239,2,2
N99,60,1600,9.400,0.106,2,2
N100,60,1600,10.000,0.400,2,4
N101,60,1600,8.560,0.005,2,6
N102,60,1600,3.160,0.013,2,2
N103,60,1600,29.440,0.087,2,4
N112,60,1600,163.520,0.767,2,4
N113,60,1600,413.280,1.537,2,6
N114,60,1600,247.000,1.462,2,4
N115,60,1600,269.240,0.417,2,6
N116,60,1600,14.080,0.045,2,2
N117,60,1600,0.000,0.000,2,2
N118,60,1600,0.800,20.000,2,4
N119,60,1600,36.480,2.526,2,4
N128,60,1600,132.720,0.059,2,4
N129,60,1600,17.840,0.009,2,6
N130,60,1600,51.120,0.028,2,10
N131,60,1600,209.560,0.183,2,6
N132,60,1600,19.320,0.019,2,6
N133,60,1600,98.000,0.041,2,10
N134,60,1600,39.000,0.009,2,10
N135,60,1600,130.480,0.060,2,10
N144,60,1600,1.240,31.000,2,4
